 1     1        -31.48768607    -25.81634404    -23.73287026    -19.89551478
 1     2        -31.50723145    -26.04821283    -23.35735446    -19.94821750
 1     3        -31.56819834    -26.45474286    -22.55024923    -20.05346491
 1     4        -31.67258347    -26.78043803    -21.71694843    -20.02221475
 1     5        -31.81204049    -26.96838217    -21.26440324    -19.50542899
 1     6        -31.96412073    -27.03842589    -21.14239613    -18.62966932
 1     7        -32.09939725    -27.03840078    -21.04787015    -17.93087370
 1     8        -32.19175772    -27.01657771    -20.92566552    -17.81864837
 1     9        -32.22443027    -27.00558938    -20.86134438    -17.90950063
 1    10        -32.19175772    -27.01657771    -20.92566552    -17.81864837
 1    11        -32.09939725    -27.03840078    -21.04787015    -17.93087370
 1    12        -31.96412073    -27.03842589    -21.14239613    -18.62966932
 1    13        -31.81204049    -26.96838217    -21.26440324    -19.50542899
 1    14        -31.67258347    -26.78043803    -21.71694843    -20.02221475
 1    15        -31.56819834    -26.45474286    -22.55024923    -20.05346491
 1    16        -31.50723145    -26.04821283    -23.35735446    -19.94821750

 2     1        -31.50723145    -26.04821283    -23.35735446    -19.94821750
 2     2        -31.50723145    -26.04821283    -23.35735446    -19.94821750
 2     3        -31.54770520    -26.34716124    -22.78686214    -20.02579198
 2     4        -31.63183522    -26.67390747    -22.01222330    -20.05124470
 2     5        -31.75721955    -26.89284992    -21.46425231    -19.70621458
 2     6        -31.90776958    -26.98632109    -21.31457257    -18.87925158
 2     7        -32.05598938    -26.98953591    -21.27487194    -17.99675888
 2     8        -32.17303763    -26.95411930    -21.20712590    -17.57763592
 2     9        -32.23716342    -26.92433091    -21.13539489    -17.67935679
 2    10        -32.23716342    -26.92433091    -21.13539489    -17.67935679
 2    11        -32.17303763    -26.95411930    -21.20712590    -17.57763592
 2    12        -32.05598938    -26.98953591    -21.27487194    -17.99675888
 2    13        -31.90776958    -26.98632109    -21.31457257    -18.87925158
 2    14        -31.75721955    -26.89284992    -21.46425231    -19.70621458
 2    15        -31.63183522    -26.67390747    -22.01222330    -20.05124470
 2    16        -31.54770520    -26.34716124    -22.78686214    -20.02579198

 3     1        -31.56819834    -26.45474286    -22.55024923    -20.05346491
 3     2        -31.54770520    -26.34716124    -22.78686214    -20.02579198
 3     3        -31.56819834    -26.45474286    -22.55024923    -20.05346491
 3     4        -31.63183522    -26.67390747    -22.01222330    -20.05124470
 3     5        -31.73992055    -26.85160883    -21.59014019    -19.72671292
 3     6        -31.88295390    -26.92000017    -21.52796392    -18.91224773
 3     7        -32.03759737    -26.88616399    -21.61122403    -17.91019669
 3     8        -32.17429240    -26.79772341    -21.68290619    -17.16144560
 3     9        -32.26726755    -26.71344675    -21.70907337    -17.23102066
 3    10        -32.30010074    -26.67956949    -21.71147218    -17.37360436
 3    11        -32.26726755    -26.71344675    -21.70907337    -17.23102066
 3    12        -32.17429240    -26.79772341    -21.68290619    -17.16144560
 3    13        -32.03759737    -26.88616399    -21.61122403    -17.91019669
 3    14        -31.88295390    -26.92000017    -21.52796392    -18.91224773
 3    15        -31.73992055    -26.85160883    -21.59014019    -19.72671292
 3    16        -31.63183522    -26.67390747    -22.01222330    -20.05124470

 4     1        -31.67258347    -26.78043803    -21.71694843    -20.02221475
 4     2        -31.63183522    -26.67390747    -22.01222330    -20.05124470
 4     3        -31.63183522    -26.67390747    -22.01222330    -20.05124470
 4     4        -31.67258347    -26.78043803    -21.71694843    -20.02221475
 4     5        -31.75721955    -26.89284992    -21.46425231    -19.70621458
 4     6        -31.88295390    -26.92000017    -21.52796392    -18.91224773
 4     7        -32.03321691    -26.83381191    -21.76033738    -17.86073115
 4     8        -32.18052465    -26.66321627    -22.01740033    -16.83614662
 4     9        -32.29652072    -26.47464406    -22.22930711    -16.87457463
 4    10        -32.35997563    -26.34982540    -22.35026408    -17.17320425
 4    11        -32.35997563    -26.34982540    -22.35026408    -17.17320425
 4    12        -32.29652072    -26.47464406    -22.22930711    -16.87457463
 4    13        -32.18052465    -26.66321627    -22.01740033    -16.83614662
 4    14        -32.03321691    -26.83381191    -21.76033738    -17.86073115
 4    15        -31.88295390    -26.92000017    -21.52796392    -18.91224773
 4    16        -31.75721955    -26.89284992    -21.46425231    -19.70621458

 5     1        -31.81204049    -26.96838217    -21.26440324    -19.50542899
 5     2        -31.75721955    -26.89284992    -21.46425231    -19.70621458
 5     3        -31.73992055    -26.85160883    -21.59014019    -19.72671292
 5     4        -31.75721955    -26.89284992    -21.46425231    -19.70621458
 5     5        -31.81204049    -26.96838217    -21.26440324    -19.50542899
 5     6        -31.90776958    -26.98632109    -21.31457257    -18.87925158
 5     7        -32.03759737    -26.88616399    -21.61122403    -17.91019669
 5     8        -32.18052465    -26.66321627    -22.01740033    -16.83614662
 5     9        -32.30840184    -26.36434369    -22.44111458    -16.74692363
 5    10        -32.39601831    -26.08651350    -22.78699808    -17.09742883
 5    11        -32.42706566    -25.96726612    -22.92751652    -17.22242969
 5    12        -32.39601831    -26.08651350    -22.78699808    -17.09742883
 5    13        -32.30840184    -26.36434369    -22.44111458    -16.74692363
 5    14        -32.18052465    -26.66321627    -22.01740033    -16.83614662
 5    15        -32.03759737    -26.88616399    -21.61122403    -17.91019669
 5    16        -31.90776958    -26.98632109    -21.31457257    -18.87925158

 6     1        -31.96412073    -27.03842589    -21.14239613    -18.62966932
 6     2        -31.90776958    -26.98632109    -21.31457257    -18.87925158
 6     3        -31.88295390    -26.92000017    -21.52796392    -18.91224773
 6     4        -31.88295390    -26.92000017    -21.52796392    -18.91224773
